solutionId,criteriaExternalId,name,evidenceMethod,section,instanceParentQuestionId,hasAParentQuestion,parentQuestionOperator,parentQuestionValue,parentQuestionId,externalId,question0,question1,tip,hint,instanceIdentifier,responseType,dateFormat,autoCapture,validation,validationIsNumber,validationRegex,validationMax,validationMin,file,fileIsRequired,fileUploadType,allowAudioRecording,minFileCount,maxFileCount,caption,questionGroup,modeOfCollection,accessibility,showRemarks,rubricLevel,isAGeneralQuestion,R1,R1-hint,R2,R2-hint,R3,R3-hint,R4,R4-hint,R5,R5-hint,R6,R6-hint,R7,R7-hint,R8,R8-hint,R9,R9-hint,R10,R10-hint,R11,R11-hint,R12,R12-hint,R13,R13-hint,R14,R14-hint,R15,R15-hint,R16,R16-hint,R17,R17-hint,R18,R18-hint,R19,R19-hint,R20,R20-hint,R1-score,R2-score,R3-score,R4-score,R5-score,R6-score,R7-score,R8-score,R9-score,R10-score,R11-score,R12-score,R13-score,R14-score,R15-score,R16-score,R17-score,R18-score,R19-score,R20-score,weightage,sectionHeader,page,questionNumber,_arrayFields,prefillFromEntityProfile,isEditable,entityFieldName
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D1C1_1733143086824,Planning & Execution,D1_1733143086824,SEC1,NA,,,,,Q1_1733143086824,Ms. Reeta is the education officer and has thought of working on the health of the community members through students’ engagement. How should she ensure success?,,,,,text,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Planning & Execution,p1,1,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D1C1_1733143086824,Planning & Execution,D1_1733143086824,SEC1,NA,,,,,Q2_1733143086824,Mr. Hira as the education officer as part of his duties has to channelize and monitor funds. He has realised that the schools do not share their expenses regularly. He may not receive further funds in case he fails to share the project progress and submit the expenses. What do you think he should do?,,Please refer to the response level hints for some observable behaviour examples,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,"L: Either does not provide students with comments/prompts about their successes OR the comments provided are simple, evaluative statements (e.g. ""that's correct"")",,Act only when there is a complaint from the senior officials or delay in receiving funds.,,Establish a system of receiving updates much before the deadlines.,,Involve group of parents and community members to collaborate with principals in monitoring the expenses and update Mr. Hira regularly.,,Discuss with principals and understand the reasons behind delay. Ask seniors for suggestions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,25.0,75.0,100.0,50.0,,,,,,,,,,,,,,,,1.0,Planning & Execution,p1,2,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D1C1_1733143086824,Planning & Execution,D1_1733143086824,SEC1,NA,,,,,Q3_1733143086824,Age,,,,,number,,,TRUE,TRUE,isNumber,10000,0,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Planning & Execution,p1,3,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D1C1_1733143086824,Planning & Execution,D1_1733143086824,SEC1,NA,,,,,Q4_1733143086824,"As the district official, one of Mr. Sanjay's objectives is to increase the enrolment of new students every year. He has to ensure that there is equal focus on genders, CwSN, and students from minority status. How should he ensure that the project running is as per the goals set?",,Please refer to the response level hints for some observable behaviour examples,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,"L: Does not state the lesson objective(s), nor can one be inferred from the lesson activities",,Achieve the required enrolment with equal focus towards all sections by involving parents and influential community members in reviewing progress and addressing gaps.,,Regularly conduct reviews of the efforts made by schools towards increasing enrolment with equal focus,,Sometimes take feedback from school principals on the progress in increasing the overall school enrolment,,Focus on identified key gaps in community and review the progress towards filling it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,100.0,75.0,25.0,50.0,,,,,,,,,,,,,,,,1.0,Planning & Execution,p1,4,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C1_1733143086824,Data based Governance,D2_1733143086824,SEC2,NA,,,,,Q5_1733143086824,One of the important goals set by Ms. Rekha is to improve the performance of the school teachers by sending them for various training workshops. How should she ensure that all teachers get trained uniformly across the district?,,,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Female,,"Orient principals, teachers with data of training programs conducted and number of teachers who received training.",,Maintain data for future records.,,Consult data of all training programs attended by teachers and identify gaps in line with the objectives of teacher development.,,Establish a system of conducting regular meetings with principals to analyse data of the training programs that the teachers attended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,100.0,30.0,50.0,75.0,,,,,,,,,,,,,,,,1.0,Data based Governance,p2,5,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C2_1733143086824,Communication,D2_1733143086824,SEC2,NA,,,,,Q6_1733143086824,There have been few changes in the syllabus. Some of the principals and teachers are anxious as they feel that the syllabus has become difficult. How do you think Mr. Babu should as the education officer handle the situation?,,,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Grade 1,,Call for a meeting with all principals and some teachers and attentively listen to their concerns. Share the maximum information in verbal and written format at the earliest.,,Share all information that he has through meetings,,Listen attentively to all principals and seek various perspectives on how the change could be implemented smoothly.,,Listen to the concerns of a selected group of principals through meetings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,40.0,60.0,100.0,80.0,,,,,,,,,,,,,,,,1.0,Data based Governance,p2,6,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C1_1733143086824,Data based Governance,D2_1733143086824,SEC2,NA,,,,,Q7_1733143086824,Experience,,,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Less than 1 yr,,Between 1 and 10 year,,More than 10 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,100.0,,,,,,,,,,,,,,,,,,1.0,Data based Governance,p2,7,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C2_1733143086824,Communication,D2_1733143086824,SEC2,NA,,,,,Q8_1733143086824,Date of birth,,,,,date,DD-MM-YYYY,FALSE,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Data based Governance,p2,8,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C2_1733143086824,Communication,D2_1733143086824,SEC2,NA,YES,||,"R1,R2",Q6_1733143086824,Q9_1733143086824,"Due to the pandemic, the progress on various initiatives has been slow. Some of the school principals are not in favour because they feel the burden is already enough due to virtual classes. How would you communicate with them to implement the initiatives?",,Please refer to the response level hints for some observable behaviour examples,,,multiselect,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,L: Does not connect what is being taught to other content knowledge or students’ daily lives,,Regularly communicate with school principals to highlight the importance of these projects towards the mutual goal of district development.,,Give examples of those teachers who aren't complaining.,,Develop ownership of district development by involving principals and community members through open workshops.,,Share data about the current status of projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,40.0,60.0,100.0,80.0,,,,,,,,,,,,,,,,1.0,Data based Governance,p3,9,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C1_1733143086824,Data based Governance,D2_1733143086824,SEC2,NA,,,,,Q10_1733143086824,Mr. Ramesh is the education officer. He has to decide which projects he would like to initiate this year. How do you suggest he should decide?,,Please refer to the response level hints for some observable behaviour examples,,,multiselect,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,L: Explanations of the content are confusing OR content is simply not explained,,Builds systems where data can be shared with school principals and other seniors. Seek support by including their suggestions on decision about initiatives.,,Collect data through surveys during school visits to understand the needs of various schools and their priority.,,Visit the districts and decide personally about the projects.,,"Share data with principals, community members, parents, and teachers to build consensus on the projects he should take up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,60.0,90.0,100.0,,,,,,,,,,,,,,,,1.0,Data based Governance,p3,10,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D2C1_1733143086824,Data based Governance,D2_1733143086824,SEC2,NA,YES,EQUALS,R5,Q10_1733143086824,Q11_1733143086824,Your senior has informed you that you are required to make a few changes in the current Health plan of students. You have also been briefed with what changes have to be implemented. When and how would you involve school principals to implement these changes across all schools of your district?,,,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Mathematics,,Involve the school principals sometimes in the plan of implementing these changes.,,Involve the principals throughout the project right from planning to implementation ensuring their involvement leads to commitment,,Involve the principals throughout the project right from planning to implementation ensuring their involvement leads to commitment,,Involve principals and community members towards implementation of changes in the health plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,50.0,75.0,25.0,100.0,,,,,,,,,,,,,,,,1.0,Data based Governance,p3,11,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D3C1_1733143086824,Influence,D3_1733143086824,SEC3,NA,,,,,Q12_1733143086824,The new initiatives by the education department want district education officers to implement ICDS. How would you ensure that the initiatives are implemented across the district?,,,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Ask members from ICDS and principals to volunteer towards the initiative.,,Form a committee of school principals based on their expertise to help you in this project towards implementing ICDS.,,"Involve principals, other district officials, and community members with specific roles towards the implementation of the project.",,Create channels for collaboration and appreciate the contribution of each principal towards the project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,50.0,100.0,75.0,,,,,,,,,,,,,,,,,1.0,Communication,p4,12,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D3C1_1733143086824,Influence,D3_1733143086824,SEC3,NA,YES,EQUALS,R1,Q12_1733143086824,Q13_1733143086824,"As the education officer, you are required to create awareness for Women and Child Welfare in the district. How would you ensure awareness is brought across the district?",,Please refer to the response level hints for some observable behaviour examples,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Not Applicable,,Decide to develop the project plan yourself being the Education officer.,,Create a network of principals and other officials for sharing ideas and suggestions.,,"Include other officials, politicians and influential community members to help you in developing the goals and plan for the project.",,Seek suggestions and consult a committee of only selective principals and teachers as required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,25.0,75.0,100.0,50.0,,,,,,,,,,,,,,,,1.0,Communication,p4,13,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D4C1_1733143086824,Collaboration,D4_1733143086824,SEC4,NA,,,,,Q14_1733143086824,Mr. Raju has realised that there is an increasing issue of high drop out among girls in your district. How would you handle the situation?,,Please refer to the response level hints for some observable behaviour examples,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Not Applicable,,Understand the challenges and needs of the school to ensure lesser drop out among girls.,,Engage with school principals and teachers by increasing the emphasis on sanitation as a way to retain girls,,Send them notices and charge them with penalty if they fail to improve the sanitation facilities.,,Involve community members to work along with principals to improve the sanitation and other facilities for girls for better enrolment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,75.0,50.0,25.0,100.0,,,,,,,,,,,,,,,,1.0,Influence,p4,14,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D4C1_1733143086824,Collaboration,D4_1733143086824,SEC4,NA,,,,,Q15_1733143086824,You are working on improving the enrolment of new students in the schools of your district. You need to establish goals for the plan. What will you do?,,Please refer to the response level hints for some observable behaviour examples,,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,L: Does not model,,Establish a system to involve parents and community members along with principals towards various initiatives of school and community development,,"To improve the enrolment, support school principals to themselves collaborate with teachers and community members",,Involve principals and other teachers to help you plan the project,,Seek support from the school principals if you need it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,75.0,100.0,50.0,25.0,,,,,,,,,,,,,,,,1.0,Influence,p4,15,parentQuestionValue,,TRUE,
486fa196-b0aa-11ef-96a3-3005054f5420-OBSERVATION-TEMPLATE,D4C1_1733143086824,Collaboration,D4_1733143086824,SEC4,NA,YES,||,"R1,R3,R4,R5",Q15_1733143086824,Q16_1733143086824,You would like to work on implementing BaLa in the schools of your district. How would you ensure that the project is a success?,,Please refer to the bulb,You may want to refer to the observations made on the above four behaviours while arriving at a score here. 1- completely ineffective; 5- most effective,,radio,,,TRUE,,,,,NA,FALSE,,False,,,FALSE,A1,onfield,No,FALSE,,,Implement the policy yourself without any support.,,Collaborate with parents and community members for support for CwSN and seek suggestions for implementation of BaLa,,Collaborate with school principals to implement BaLa in schools after identifying the gaps	,,Establish a system of regularly sharing best practices of implementing BaLa in various schools to encourage inclusive environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,100.0,50.0,75.0,,,,,,,,,,,,,,,,,1.0,Influence,p4,16,parentQuestionValue,,TRUE,
