"Criteria Name","Criteria External Id","Criteria Internal Id"
"Data-based Governance (डाटा आधारित प्रशासन)","D1C2_1649679267152","64ec718704ab6dd675f8ec94"
"Sport & Art Intervention (खेल एवं कला का अंतःक्षेप)","D1C4_1649679267152","64ec718804ab6dd675f8ec96"
"Conflict Management (विरोधाभाष/संघर्ष प्रबंधन)","D2C4_1649679267152","64ec718b04ab6dd675f8ec9a"
"Self- Management (स्व-प्रबंधन)","D4C2_1649679267152","64ec718e04ab6dd675f8ec9f"
"Planning and Execution (योजना एवं क्रियान्वयन)","D1C1_1649679267152","64ec718504ab6dd675f8ec93"
"Influence (प्रभाव)","D2C2_1649679267152","64ec718a04ab6dd675f8ec98"
"Supervision (पर्यवेक्षण)","D3C3_1649679267152","64ec718d04ab6dd675f8ec9d"
"Coaching & Mentoring","D3C1_1649679267152","64ec718c04ab6dd675f8ec9b"
"Social and Emotional Wellbeing (सामाजिक एवं भावनात्मक देखभाल)","D4C3_1649679267152","64ec718e04ab6dd675f8eca0"
"Communication (संवाद)","D2C1_1649679267152","64ec718904ab6dd675f8ec97"
"Giving Feedback (प्रतिपुष्टि देना)","D3C2_1649679267152","64ec718c04ab6dd675f8ec9c"
"Digital and Technology (डिजिटल एंड टेक्नोलॉजी)","D1C3_1649679267152","64ec718704ab6dd675f8ec95"
"Collaboration (समन्वय)","D2C3_1649679267152","64ec718b04ab6dd675f8ec99"
"Self-Awareness (स्व-जागरूकता)","D4C1_1649679267152","64ec718d04ab6dd675f8ec9e"